Playback treatment,Crab mass,Oxygen consumed
Ambient,50.73,142.4710577
Ambient,59.72,168.669989
Ambient,54.51,205.1131252
Ambient,57.32,168.307109
Ambient,84.9,209.4783448
Ambient,49.58,154.7141014
Ambient,61.53,181.3362667
Ambient,68.01,194.6759891
Ambient,47.64,129.4882761
Ambient,36.14,140.1481046
Ambient,22.72,88.12355475
Ambient,84.82,172.2990239
Ambient,68.41,157.483917
Ambient,60.42,168.6712319
Ambient,34.78,139.9390454
Ambient,56.16,242.4746834
Ambient,39.62,202.9221444
Ship,25.64,113.5848992
Ship,29.43,126.6696481
Ship,74.66,269.8050614
Ship,43.85,191.1447635
Ship,50.66,216.9801092
Ship,62.54,280.6069171
Ship,60.06,329.8734277
Ship,63.65,305.5241008
Ship,57.41,242.6416334
Ship,58.82,205.6316484
Ship,55.37,279.5935575
Ship,41.87,203.2396644
Ship,72.71,294.1428296
Ship,53.04,254.4719766
Ship,53.51,242.1207494
Ship,39.52,252.7003158
Ship,32.16,214.3360073